,co,temp,rhum,wspd,pres,coco
2021-04-30 01:00:00,150.0,6.0,70.0,3.6,1015.0,2.0
2021-04-30 02:00:00,150.0,6.0,70.0,3.6,1015.0,2.0
2021-04-30 03:00:00,150.0,4.0,81.0,5.4,1015.0,2.0
2021-04-30 04:00:00,150.0,4.0,87.0,3.6,1015.0,2.0
2021-04-30 05:00:00,150.0,4.0,81.0,3.6,1015.0,2.0
2021-04-30 06:00:00,150.0,5.0,75.0,5.4,1016.0,2.0
2021-04-30 07:00:00,150.0,6.0,76.0,5.4,1016.0,2.0
2021-04-30 08:00:00,150.0,7.0,61.0,7.6,1016.0,2.0
2021-04-30 09:00:00,150.0,9.0,53.0,5.4,1015.0,2.0
2021-04-30 10:00:00,200.0,10.0,43.0,7.6,1015.0,2.0
2021-04-30 11:00:00,200.0,10.0,43.0,7.6,1015.0,2.0
2021-04-30 12:00:00,0.0,10.0,43.0,9.4,1015.0,3.0
2021-04-30 13:00:00,0.0,11.0,43.0,9.4,1015.0,3.0
2021-04-30 14:00:00,,12.0,35.0,3.6,1014.0,3.0
2021-04-30 15:00:00,,11.0,40.0,9.4,1015.0,17.0
2021-04-30 16:00:00,,10.0,50.0,13.0,1014.0,4.0
2021-04-30 17:00:00,,11.0,47.0,11.2,1014.0,4.0
2021-04-30 18:00:00,,9.0,62.0,16.6,1015.0,3.0
2021-04-30 19:00:00,,9.0,57.0,14.8,1015.0,3.0
2021-04-30 20:00:00,,9.0,62.0,9.4,1015.0,2.0
2021-04-30 21:00:00,,8.0,66.0,7.6,1015.0,2.0
2021-04-30 22:00:00,,8.0,66.0,7.6,1016.0,2.0
2021-04-30 23:00:00,,9.0,62.0,7.6,1016.0,2.0
2021-05-01 00:00:00,,7.0,71.0,5.4,1016.0,2.0
2021-05-01 01:00:00,250.0,6.0,76.0,3.6,1016.0,2.0
2021-05-01 02:00:00,150.0,5.0,87.0,5.4,1016.0,2.0
2021-05-01 03:00:00,150.0,5.0,81.0,3.6,1015.0,2.0
2021-05-01 04:00:00,0.0,4.0,87.0,3.6,1016.0,2.0
2021-05-01 05:00:00,0.0,4.0,87.0,5.4,1016.0,2.0
2021-05-01 06:00:00,0.0,5.0,81.0,3.6,1016.0,2.0
2021-05-01 07:00:00,0.0,6.0,81.0,7.6,1017.0,2.0
2021-05-01 08:00:00,0.0,7.0,76.0,11.2,1017.0,2.0
2021-05-01 09:00:00,,9.0,62.0,11.2,1016.0,2.0
2021-05-01 10:00:00,,10.0,50.0,13.0,1016.0,2.0
2021-05-01 11:00:00,,10.0,50.0,11.2,1016.0,2.0
2021-05-01 12:00:00,,10.0,54.0,11.2,1016.0,2.0
2021-05-01 13:00:00,,11.0,47.0,11.2,1016.0,2.0
2021-05-01 14:00:00,,11.0,43.0,13.0,1015.0,2.0
2021-05-01 15:00:00,,12.0,41.0,11.2,1015.0,2.0
2021-05-01 16:00:00,,12.0,44.0,14.8,1016.0,17.0
2021-05-01 17:00:00,,11.0,47.0,11.2,1016.0,3.0
2021-05-01 18:00:00,,11.0,47.0,11.2,1017.0,3.0
2021-05-01 19:00:00,,10.0,58.0,16.6,1018.0,3.0
2021-05-01 20:00:00,,9.0,62.0,7.6,1018.0,2.0
2021-05-01 21:00:00,,8.0,66.0,7.6,1019.0,2.0
2021-05-01 22:00:00,,8.0,66.0,5.4,1019.0,2.0
2021-05-01 23:00:00,,7.0,76.0,5.4,1019.0,2.0
2021-05-02 00:00:00,,6.0,81.0,3.6,1019.0,2.0
2021-05-02 01:00:00,250.0,6.0,81.0,3.6,1019.0,2.0
2021-05-02 02:00:00,250.0,6.0,81.0,3.6,1019.0,2.0
2021-05-02 03:00:00,200.0,5.0,87.0,1.8,1020.0,2.0
2021-05-02 04:00:00,200.0,5.0,81.0,3.6,1020.0,2.0
2021-05-02 05:00:00,150.0,5.0,81.0,7.6,1020.0,2.0
2021-05-02 06:00:00,150.0,6.0,81.0,1.8,1021.0,2.0
2021-05-02 07:00:00,150.0,6.0,81.0,5.4,1021.0,2.0
2021-05-02 08:00:00,150.0,8.0,71.0,3.6,1021.0,2.0
2021-05-02 09:00:00,200.0,10.0,62.0,5.4,1021.0,2.0
2021-05-02 10:00:00,200.0,10.0,58.0,7.6,1021.0,2.0
2021-05-02 11:00:00,250.0,10.0,58.0,9.4,1021.0,2.0
2021-05-02 12:00:00,300.0,10.0,46.0,14.8,1021.0,2.0
2021-05-02 13:00:00,300.0,13.0,41.0,3.6,1021.0,3.0
2021-05-02 14:00:00,300.0,13.0,38.0,16.6,1021.0,3.0
2021-05-02 15:00:00,350.0,11.0,47.0,5.4,1020.0,3.0
2021-05-02 16:00:00,300.0,13.0,38.0,7.6,1020.0,2.0
2021-05-02 17:00:00,300.0,11.0,50.0,14.8,1020.0,2.0
2021-05-02 18:00:00,300.0,11.0,54.0,13.0,1020.0,2.0
2021-05-02 19:00:00,300.0,11.0,54.0,11.2,1021.0,3.0
2021-05-02 20:00:00,250.0,10.0,62.0,13.0,1021.0,3.0
2021-05-02 21:00:00,250.0,9.0,66.0,9.4,1021.0,3.0
2021-05-02 22:00:00,600.0,9.0,66.0,13.0,1021.0,3.0
2021-05-02 23:00:00,,9.0,62.0,13.0,1021.0,3.0
2021-05-03 00:00:00,,8.0,66.0,11.2,1021.0,3.0
2021-05-03 01:00:00,200.0,8.0,66.0,11.2,1020.0,3.0
2021-05-03 02:00:00,150.0,7.0,71.0,11.2,1020.0,3.0
2021-05-03 03:00:00,150.0,7.0,76.0,11.2,1020.0,3.0
2021-05-03 04:00:00,150.0,7.0,76.0,14.8,1020.0,3.0
2021-05-03 05:00:00,150.0,7.0,76.0,11.2,1020.0,4.0
2021-05-03 06:00:00,150.0,7.0,76.0,9.4,1019.0,4.0
2021-05-03 07:00:00,150.0,9.0,71.0,14.8,1019.0,4.0
2021-05-03 08:00:00,100.0,10.0,66.0,20.5,1018.0,4.0
2021-05-03 09:00:00,100.0,11.0,58.0,22.3,1017.0,4.0
2021-05-03 10:00:00,150.0,12.0,54.0,22.3,1015.0,3.0
2021-05-03 11:00:00,150.0,13.0,41.0,27.7,1015.0,7.0
2021-05-03 12:00:00,200.0,13.0,41.0,31.7,1013.0,7.0
2021-05-03 13:00:00,200.0,13.0,41.0,31.7,1013.0,7.0
2021-05-03 14:00:00,200.0,12.0,44.0,37.1,1010.0,7.0
2021-05-03 15:00:00,200.0,12.0,44.0,33.5,1009.0,8.0
2021-05-03 16:00:00,150.0,12.0,54.0,29.5,1008.0,7.0
2021-05-03 17:00:00,150.0,12.0,50.0,27.7,1005.0,7.0
2021-05-03 18:00:00,100.0,11.0,62.0,33.5,1003.0,7.0
2021-05-03 19:00:00,100.0,10.0,76.0,37.1,1001.0,8.0
2021-05-03 20:00:00,50.0,9.0,82.0,35.3,999.0,8.0
2021-05-03 21:00:00,,10.0,82.0,35.3,998.0,8.0
2021-05-03 22:00:00,,10.0,87.0,33.5,996.0,7.0
2021-05-03 23:00:00,,10.0,94.0,27.7,995.0,7.0
2021-05-04 00:00:00,,10.0,76.0,33.5,994.0,7.0
2021-05-04 01:00:00,0.0,10.0,71.0,27.7,994.0,7.0
2021-05-04 02:00:00,0.0,10.0,71.0,31.7,994.0,4.0
2021-05-04 03:00:00,0.0,10.0,71.0,29.5,994.0,4.0
2021-05-04 04:00:00,0.0,9.0,76.0,33.5,994.0,4.0
2021-05-04 05:00:00,100.0,9.0,76.0,29.5,994.0,3.0
2021-05-04 06:00:00,100.0,9.0,76.0,35.3,997.0,7.0
2021-05-04 07:00:00,200.0,9.0,66.0,37.1,998.0,3.0
2021-05-04 08:00:00,400.0,9.0,66.0,35.3,998.0,3.0
2021-05-04 09:00:00,300.0,11.0,58.0,37.1,999.0,3.0
2021-05-04 10:00:00,200.0,11.0,54.0,37.1,1000.0,3.0
2021-05-04 11:00:00,300.0,12.0,50.0,35.3,1001.0,3.0
2021-05-04 12:00:00,400.0,12.0,50.0,38.9,1001.0,3.0
2021-05-04 13:00:00,300.0,11.0,62.0,42.5,1002.0,17.0
2021-05-04 14:00:00,300.0,14.0,41.0,38.9,1003.0,17.0
2021-05-04 15:00:00,500.0,11.0,54.0,33.5,1002.0,17.0
2021-05-04 16:00:00,700.0,12.0,47.0,29.5,1002.0,2.0
2021-05-04 17:00:00,700.0,12.0,38.0,37.1,1003.0,2.0
2021-05-04 18:00:00,800.0,11.0,47.0,29.5,1004.0,2.0
2021-05-04 19:00:00,800.0,10.0,50.0,27.7,1005.0,2.0
2021-05-04 20:00:00,800.0,8.0,66.0,20.5,1005.0,2.0
2021-05-04 21:00:00,600.0,8.0,66.0,24.1,1005.0,2.0
2021-05-04 22:00:00,,8.0,61.0,25.9,1005.0,2.0
2021-05-04 23:00:00,,8.0,61.0,24.1,1005.0,2.0
2021-05-05 00:00:00,,7.0,66.0,27.7,1005.0,2.0
2021-05-05 01:00:00,150.0,7.0,71.0,22.3,1005.0,2.0
2021-05-05 02:00:00,150.0,6.0,70.0,27.7,1006.0,2.0
2021-05-05 03:00:00,450.0,6.0,76.0,18.4,1007.0,2.0
2021-05-05 04:00:00,400.0,5.0,81.0,5.4,1007.0,2.0
2021-05-05 05:00:00,300.0,6.0,76.0,16.6,1007.0,2.0
2021-05-05 06:00:00,300.0,6.0,76.0,14.8,1008.0,2.0
2021-05-05 07:00:00,400.0,7.0,71.0,14.8,1009.0,2.0
2021-05-05 08:00:00,300.0,8.0,66.0,14.8,1009.0,2.0
2021-05-05 09:00:00,250.0,8.0,61.0,18.4,1009.0,2.0
2021-05-05 10:00:00,300.0,10.0,50.0,16.6,1010.0,2.0
2021-05-05 11:00:00,650.0,11.0,40.0,20.5,1010.0,2.0
2021-05-05 12:00:00,700.0,12.0,38.0,20.5,1009.0,2.0
2021-05-05 13:00:00,650.0,12.0,38.0,16.6,1010.0,2.0
2021-05-05 14:00:00,500.0,11.0,43.0,13.0,1010.0,18.0
2021-05-05 15:00:00,650.0,8.0,71.0,22.3,1011.0,18.0
2021-05-05 16:00:00,550.0,7.0,76.0,22.3,1011.0,18.0
2021-05-05 17:00:00,500.0,7.0,76.0,1.8,1010.0,18.0
2021-05-05 18:00:00,800.0,7.0,76.0,9.4,1010.0,3.0
2021-05-05 19:00:00,600.0,6.0,76.0,13.0,1010.0,3.0
2021-05-05 20:00:00,600.0,5.0,87.0,11.2,1010.0,3.0
2021-05-05 21:00:00,550.0,6.0,81.0,14.8,1010.0,3.0
2021-05-05 22:00:00,500.0,5.0,87.0,13.0,1010.0,5.0
2021-05-05 23:00:00,,5.0,87.0,13.0,1009.0,5.0
2021-05-06 00:00:00,,5.0,87.0,13.0,1009.0,5.0
2021-05-06 01:00:00,450.0,4.0,93.0,13.0,1008.0,5.0
2021-05-06 02:00:00,450.0,4.0,87.0,9.4,1008.0,5.0
2021-05-06 03:00:00,450.0,4.0,87.0,9.4,1007.0,2.0
2021-05-06 04:00:00,300.0,4.0,87.0,7.6,1007.0,5.0
2021-05-06 05:00:00,400.0,4.0,87.0,11.2,1007.0,5.0
2021-05-06 06:00:00,600.0,5.0,81.0,5.4,1006.0,4.0
2021-05-06 07:00:00,700.0,6.0,81.0,11.2,1006.0,4.0
2021-05-06 08:00:00,700.0,7.0,76.0,9.4,1006.0,4.0
2021-05-06 09:00:00,700.0,9.0,62.0,13.0,1006.0,4.0
2021-05-06 10:00:00,600.0,10.0,54.0,11.2,1005.0,3.0
2021-05-06 11:00:00,600.0,10.0,50.0,13.0,1006.0,3.0
2021-05-06 12:00:00,700.0,7.0,71.0,20.5,1006.0,3.0
2021-05-06 13:00:00,400.0,8.0,71.0,16.6,1006.0,3.0
2021-05-06 14:00:00,500.0,9.0,62.0,14.8,1006.0,3.0
2021-05-06 15:00:00,800.0,11.0,47.0,14.8,1006.0,3.0
